Transaction_ID,User_ID,Transaction_Amount,Transaction_Type,Time_of_Transaction,Device_Used,Location,Previous_Fraudulent_Transactions,Account_Age,Number_of_Transactions_Last_24H,Payment_Method,Fraudulent
TXN100000,USER2292,1357.42,Bill Payment,4,Android,Different State,0,1268,3,UPI PIN,0
TXN100001,USER2919,2430.94,P2P,22,Android,Same City,0,475,3,UPI PIN,0
TXN100002,USER2831,617.62,P2P,9,Android,Same City,0,1529,5,UPI PIN,0
TXN100003,USER4064,979.96,P2P,5,iOS,Same City,1,2655,2,UPI PIN,0
TXN100004,USER2230,294.97,Recharge,17,Android,Different State,0,937,1,Biometric,0
TXN100005,USER3026,617.92,P2P,3,iOS,Same City,0,1362,1,UPI PIN,0
TXN100006,USER2866,9579.19,Recharge,16,Android,Same City,2,2636,3,Auto Debit,1
TXN100007,USER2043,2029.07,Recharge,7,Android,Same City,0,1916,3,Biometric,0
TXN100008,USER3901,4968.66,Recharge,23,iOS,Different State,0,2063,1,UPI PIN,0
TXN100009,USER4227,3785.35,P2P,9,Web,Same City,0,1908,1,Biometric,0
TXN100010,USER3614,5994.4,P2P,5,Android,Same City,0,535,3,UPI PIN,1
TXN100011,USER3972,2862.27,Bill Payment,0,Android,Same City,0,98,2,UPI PIN,0
TXN100012,USER2219,2169.94,Bill Payment,11,Android,Different City,0,1647,5,Biometric,1
TXN100013,USER2211,1498.96,Bill Payment,18,Android,Different State,0,747,3,UPI PIN,0
TXN100014,USER3890,5171.38,Merchant,10,Android,Same City,1,967,2,UPI PIN,0
TXN100015,USER4239,2622.42,P2P,9,Android,Same City,0,2831,6,UPI PIN,1
TXN100016,USER4656,1656.57,Bill Payment,4,Android,Same City,0,2696,0,UPI PIN,1
TXN100017,USER3291,2311.61,P2P,18,Android,Same City,0,366,3,UPI PIN,1
TXN100018,USER1304,349.95,Recharge,23,Android,Different City,0,1861,2,UPI PIN,0
TXN100019,USER4216,3935.38,P2P,0,Android,Different City,0,2462,0,UPI PIN,0
TXN100020,USER3104,1728.88,Merchant,12,Android,Same City,0,1859,1,UPI PIN,0
TXN100021,USER3241,274.53,Recharge,18,Web,Same City,0,245,3,UPI PIN,0
TXN100022,USER1717,2250.39,Bill Payment,18,Android,Different City,0,77,4,UPI PIN,0
TXN100023,USER2237,545.97,Recharge,19,iOS,Different City,0,2967,2,UPI PIN,0
TXN100024,USER1174,1412.74,P2P,19,Android,Same City,2,2754,4,UPI PIN,0
TXN100025,USER1614,1425.58,Merchant,7,Android,Same City,0,3770,2,UPI PIN,1
TXN100026,USER2595,758.71,Recharge,0,iOS,Same City,0,459,3,UPI PIN,1
TXN100027,USER4949,2017.18,P2P,5,iOS,Same City,1,2454,3,Auto Debit,0
TXN100028,USER2742,1059.51,Recharge,22,Android,Same City,0,1629,5,Biometric,1
TXN100029,USER4937,399.31,Recharge,5,iOS,Same City,0,3773,3,UPI PIN,0
TXN100030,USER4082,3995.42,Merchant,18,iOS,Different City,0,2664,4,Biometric,0
TXN100031,USER3974,808.67,Merchant,18,Android,Same City,0,3403,1,UPI PIN,1
TXN100032,USER4081,2753.13,P2P,2,iOS,Different State,0,882,2,UPI PIN,0
TXN100033,USER4203,93.84,P2P,16,Android,Different City,1,3314,5,Biometric,0
TXN100034,USER4513,0.64,P2P,2,Android,Different City,0,3275,1,UPI PIN,0
TXN100035,USER3252,1925.25,P2P,5,Android,Same City,0,902,4,UPI PIN,0
TXN100036,USER1158,2237.97,Recharge,2,Android,Same City,1,1897,3,UPI PIN,1
TXN100037,USER4428,2083.15,Merchant,8,iOS,Same City,0,2454,1,UPI PIN,0
TXN100038,USER4698,3268.17,Merchant,14,Android,Same City,1,1339,6,Biometric,1
TXN100039,USER2854,2151.35,Recharge,8,Android,Same City,1,1919,2,UPI PIN,0
TXN100040,USER4832,936.54,P2P,13,Android,Same City,3,1681,6,UPI PIN,0
TXN100041,USER3976,9252.48,Recharge,20,Android,Same City,0,2410,5,UPI PIN,1
TXN100042,USER1979,866.9,P2P,18,Android,Same City,0,1776,1,UPI PIN,0
TXN100043,USER1675,4069.28,Bill Payment,14,Android,Same City,0,639,3,UPI PIN,1
TXN100044,USER1092,1369.49,Recharge,13,Android,Same City,0,2614,4,UPI PIN,0
TXN100045,USER1894,1187.67,Bill Payment,1,iOS,Same City,1,3759,1,UPI PIN,0
TXN100046,USER4722,2231.04,Bill Payment,22,iOS,Same City,0,494,4,Auto Debit,0
TXN100047,USER4579,511.89,Merchant,13,Android,Different State,0,472,2,UPI PIN,0
TXN100048,USER4344,286.48,Recharge,10,Android,Different State,0,2053,1,UPI PIN,1
TXN100049,USER4506,1272.59,Bill Payment,12,Android,Same City,0,1546,1,Auto Debit,1
TXN100050,USER3747,888.39,Merchant,22,Android,Same City,0,2528,3,UPI PIN,0
TXN100051,USER4569,2019.21,Bill Payment,8,iOS,Same City,0,2134,6,UPI PIN,0
TXN100052,USER2521,1525.63,Bill Payment,21,Android,Same City,0,1181,4,UPI PIN,0
TXN100053,USER2783,3068.99,P2P,7,iOS,Different City,0,1778,3,UPI PIN,0
TXN100054,USER3766,1109.28,Merchant,18,Android,Same City,1,1805,3,UPI PIN,0
TXN100055,USER3731,3130.51,Merchant,15,Android,Same City,2,2737,1,UPI PIN,1
TXN100056,USER3070,2620.94,P2P,21,iOS,Same City,0,1518,5,UPI PIN,0
TXN100057,USER1912,3282.98,Merchant,16,Android,Same City,0,3605,2,Biometric,1
TXN100058,USER4866,434.17,Bill Payment,7,iOS,Different State,0,2986,9,UPI PIN,0
TXN100059,USER1890,681.58,P2P,6,Android,Same City,0,2456,4,Biometric,0
TXN100060,USER4671,4278.76,P2P,17,iOS,Same City,0,561,1,UPI PIN,0
TXN100061,USER3600,112.16,Recharge,16,Android,Same City,0,1657,2,Biometric,0
TXN100062,USER4127,1528.41,Recharge,6,iOS,Same City,1,1509,0,UPI PIN,0
TXN100063,USER1021,332.54,P2P,11,iOS,Same City,0,1236,6,UPI PIN,0
TXN100064,USER1285,4574.39,Bill Payment,17,iOS,Same City,1,3185,2,Biometric,0
TXN100065,USER2303,267.44,P2P,13,Android,Different State,0,2999,1,UPI PIN,0
TXN100066,USER3905,2316.85,Recharge,6,iOS,Same City,0,3792,1,Biometric,1
TXN100067,USER3122,14.05,Bill Payment,21,Android,Same City,1,753,2,UPI PIN,0
TXN100068,USER1697,2479.79,Recharge,2,iOS,Different City,0,2741,1,Biometric,1
TXN100069,USER3249,290.63,Bill Payment,13,Android,Same City,0,3024,1,Auto Debit,0
TXN100070,USER3517,1445.09,Recharge,14,iOS,Same City,2,3151,3,UPI PIN,0
TXN100071,USER3828,2278.25,P2P,5,Android,Same City,0,1378,1,Biometric,1
TXN100072,USER3088,127.97,Bill Payment,0,Android,Different City,0,3475,1,UPI PIN,0
TXN100073,USER1025,1229.2,Bill Payment,17,Android,Same City,0,3454,3,UPI PIN,1
TXN100074,USER1248,692.39,P2P,17,iOS,Same City,0,1830,4,UPI PIN,0
TXN100075,USER1043,641.8,Recharge,8,Android,Same City,0,1204,4,UPI PIN,0
TXN100076,USER4335,2121.93,Bill Payment,7,iOS,Same City,0,1961,5,Auto Debit,1
TXN100077,USER4267,1958.52,P2P,12,iOS,Same City,1,1574,2,UPI PIN,0
TXN100078,USER4818,1920.91,Bill Payment,17,iOS,Same City,1,2544,2,UPI PIN,0
TXN100079,USER1808,1465.73,Bill Payment,15,Android,Same City,0,2956,0,UPI PIN,0
TXN100080,USER4439,3646.41,Bill Payment,22,Android,Same City,0,2803,1,UPI PIN,1
TXN100081,USER1707,2177.07,Recharge,0,Android,Same City,0,3330,1,UPI PIN,1
